dataset_uri,title,description,modified,issued,publisher_uri,license,language,spatial,keyword,num_languages,num_keywords,domain,country,has_license,is_open_license,has_coordinates,description_length,has_temporal,temporal_start,temporal_end,is_machine_readable,format,publisher_name,has_keywords,is_multilingual,has_multilingual,in_water_harvest
http://data.europa.eu/88u/dataset/aba94d33-88a2-47c0-a263-e8e44116942a,,,,,,,,,,1,0,drought_early_warning,unknown,False,False,False,0,False,,,False,,,False,False,False,True
http://data.europa.eu/88u/dataset/eacf9763-b19e-46f7-8e2c-f15ab58265e9,Inspire Download Service (predefined ATOM) for data set Groundwater body of Saarland,"Description of the INSPIRE Download Service (predefined Atom): According to Article 2, point 13, a groundwater body within the meaning of the WFD is a delineated groundwater volume within one or more aquifers. It is the smallest non-divisible unit of the WFD to which essential objectives of the Directive relate, i.e. it is the evaluation unit and unit for the (later) definition of measures. — The link(s) for downloading the records is/are generated dynamically from getFeature Requests to a WFS 1.1.0",2025-02-25,2022-06-14,nodeID://b5798367284,,,nodeID://b5798367296,Geologie | Gewässer | Grundwasser | Grundwasserschutz | Grundwasserträger | Hydrogeologie | Wasser | Wasserkörper | bergbau_geologie | infoFeatureAccessService | opendata | wasser,0,12,drought_early_warning,unknown,False,False,True,81,True,,,False,,,True,False,False,True
http://data.europa.eu/88u/dataset/32699-geschiktheidskaart-warmte-koudeopslag-zoet-brak-1e-watervoerende-pakket,Fitness card Heat-cold storage sweet/broken: 1st aquifer package,"On the one hand, the map contains the technical potential for heat-cold storage (depending on the thickness of the water-bearing package and the permeability) classified into different classes of use. On the other hand, it contains policy areas of restriction in relation to water extraction. There is a card for the first aquifer package and one for the combined second and third aquifer package which almost coincides in ZH.
Serves as a first indication for determining the probability of a successful heat-cold storage system. For a concrete project, additional studies will have to be carried out in the context of the permit application for the Water Act.",,,http://standaarden.overheid.nl/owms/terms/Zuid-Holland,,http://publications.europa.eu/resource/authority/language/NLD,,bodem | energiebesparing | energiebronnen | grondwater,1,4,drought_early_warning,unknown,False,False,False,107,False,,,False,,,True,False,False,True
http://data.europa.eu/88u/dataset/e14a6cf6-dd1a-4667-b435-ddf2fa0345d9,Fitness card Heat-cold storage sweet/broken: 1st aquifer package,"On the one hand, the map contains the technical potential for heat-cold storage (depending on the thickness of the water-bearing package and the permeability) classified into different classes of use. On the other hand, it contains policy areas of restriction in relation to water extraction. There is a card for the first aquifer package and one for the combined second and third aquifer package which almost coincides in ZH.
Serves as a first indication for determining the probability of a successful heat-cold storage system. For a concrete project, additional studies will have to be carried out in the context of the permit application for the Water Act.",2017-06-23,,,,http://publications.europa.eu/resource/authority/language/NLD,nodeID://b3743481064,bodem | energiebesparing | energiebronnen | grondwater,1,4,drought_early_warning,unknown,False,False,True,107,False,,,False,,,True,False,False,True
http://data.europa.eu/88u/dataset/332e1673-d91b-4ddc-8950-ff12cd885d75,WFD: Chemical status of groundwater bodies with regard to nitrate 2022-2027,"Chemical status of groundwater bodies with regard to nitrate with Saxon proportions for the catering period 2022-2027 according to §§6,7 Groundwater Ordinance 2010",2024-05-24,2021-12-22,urn:uuid:ef916bfc-5d97-a8bb-a117-b10e5da45c6b,,http://publications.europa.eu/resource/authority/language/DEU,nodeID://b5919544324,gewässerschutz | sachsen | wasser-de | wasserrahmenrichtlinie,1,4,drought_early_warning,unknown,False,False,True,23,True,,,False,,,True,False,False,True
http://data.europa.eu/88u/dataset/bf30f405-b695-4ed9-98fa-b5c3d2070d10,,,,,,,,,,1,0,drought_early_warning,unknown,False,False,False,0,False,,,False,,,False,False,False,True
http://data.europa.eu/88u/dataset/ec143d4e-302b-4126-a47c-a5514a34ae4d,Fitness card Heat-cold storage sweet/broken: 2nd and 3rd aquifer package,"On the one hand, the map contains the technical potential for heat-cold storage (depending on the thickness of the water-bearing package and the permeability) classified into different classes of use. On the other hand, it contains policy areas of restriction in relation to water extraction. There is a card for the first aquifer package and one for the combined second and third aquifer package which almost coincides in ZH.
Serves as a first indication for determining the probability of a successful heat-cold storage system. For a concrete project, additional studies will have to be carried out in the context of the permit application for the Water Act.",2017-06-23,,,,http://publications.europa.eu/resource/authority/language/NLD,nodeID://b3743480298,bodem | energiebesparing | energiebronnen | grondwater,1,4,drought_early_warning,unknown,False,False,True,107,False,,,False,,,True,False,False,True
http://data.europa.eu/88u/dataset/61024e29-a215-4a7a-967a-bb9a71b17fec,"Hydrogeologische Karte von Niedersachsen 1 : 50 000 – Mittlere jährliche Grundwasserneubildung für den 30-jährigen Zeitraum 2071-2100 im hydrologischen Winterhalbjahr, Kein-Klimaschutz-Szenario (RCP8.5)","Die Karte zeigt die modellierte mittlere jährliche Grundwasserneubildung für den 30-jährigen Zeitraum 2071-2100 im hydrologischen Winterhalbjahr (Nov.-Apr.) in mm/a berechnet mit dem „Kein-Klimaschutz“-Szenario (RCP8.5).
Grundwasser ist ein Rohstoff, der sich regenerieren und erneuern kann. Hauptlieferant für den Grundwasservorrat ist in Niedersachsen versickerndes Niederschlagswasser. Es sorgt dafür, dass die Grundwasservorkommen der Speichergesteine im Untergrund aufgefüllt werden. Besonders hoch ist die Grundwasserneubildung im Winter, da zu dieser Zeit ein großer Teil der Niederschläge im Boden versickert. In den wärmeren Jahreszeiten verdunstet dagegen ein großer Teil des Niederschlags bereits an der Oberfläche oder wird von Pflanzen aufgenommen. 
Die Grundwasserneubildung ist räumlich stark unterschiedlich verteilt. Sie hängt ab von der Niederschlags- und Verdunstungsverteilung, den Eigenschaften des Bodens, der Landnutzung (Bewuchs, Versiegelungsgrad), dem Relief der Landoberfläche, der künstlichen Entwässerung durch Drainage, dem Grundwasserflurabstand sowie den Eigenschaften der oberflächennahen Gesteine. Da sich diese Parameter in Niedersachsen zum Teil auf kleinstem Raum deutlich unterscheiden, unterliegt auch die Grundwasserneubildung großen lateralen Schwankungen. 
Um die Grundwasserneubildung zu ermitteln, gibt es verschiedene Verfahren. Die vorliegenden Karten zeigen die flächendifferenzierte Ausweisung der mittleren Grundwasserneubildung, die mit dem Verfahren mGROWA (kurz für „monatlicher Großräumiger Wasserhaushalt“) berechnet wurde. Das Model mGROWA wurde für die großräumige Simulation des Wasserhaushalts am Forschungszentrum Jülich in Zusammenarbeit mit dem LBEG entwickelt (Herrmann et al. 2013) und seit 2016 für Niedersachsen methodisch aktualisiert. Zusätzlich wurde eine Reihe neuer Eingangsdaten verwendet, um ein aktuelle Datengrundlagen für wasserwirtschaftliche Planungsarbeiten und wasserrechtliche Genehmigungsverfahren zu liefern. 
Als klimatische Inputdaten wurden tägliche und monatliche Klimaprojektionsdaten genutzt. Die Klimaprojektionsdaten stellen die Ergebnisse eines Ensembles aus verschiedenen Klimamodellen dar (das Niedersächsische Klimaensemble AR5-NI v2.1 siehe Hajati et al. (2022)). Die Daten wurden vom Deutschen Wetterdienst bereitgestellt. Datengrundlage dessen ist das EURO-CORDEX Ensemble (Jacob et al., 2014). Im Rahmen des BMVI-Expertennetzwerks fand durch den DWD eine Herunterskalierung von einem 12,5 km auf ein 5 km Raster statt. 

Die Klimamodelle sind mit dem „Kein-Klimaschutz“-Szenario (RCP8.5) angetrieben. Dabei handelt es sich um ein Szenario des IPCC (Weltklimarat), welches einen kontinuierlichen Anstieg der globalen Treibhausgasemissionen beschreibt, der bis zum Ende des 21. Jahrhunderts einen zusätzlichen Strahlungsantrieb von 8,5 Watt pro m² gegenüber dem vorindustriellen Niveau bewirkt.
Die Ergebnisse aller Klimamodelle sind gleich wahrscheinlich. Daher kann neben dem Mittelwert, der eine Tendenz aufzeigt, auch der obere (Maximum) und untere (Minimum) Rand der Ergebnisbandbreite über den MapTip abgerufen werden.
Für eine bessere Regionalisierung wurden die klimatischen Eingangsparameter Niederschlag und potentielle Verdunstung mit bilinearer Interpolation auf ein 500 x 500 m Raster für mGROWA22 herunterskaliert.",2025-05-27,2022-09-01,nodeID://b5903826129,,http://publications.europa.eu/resource/authority/language/DEU,nodeID://b5903826126,geologie | inspireidentifiziert | nibis-metadaten | opendata | regional | sgd_hydrogeologie,1,6,climate_infrastructure,unknown,False,False,True,403,True,,,False,,,True,False,False,True
http://data.europa.eu/88u/dataset/d93ac911-5e6b-4c19-b5d7-936897d93f39,"Hydrogeologische Karte von Niedersachsen 1 : 50 000 – Änderung der mittleren jährlichen Grundwasserneubildung für den 30-jährigen Zeitraum 2071-2100 zu 1971-2000, Klimaschutz-Szenario (RCP2.6) (WMS Dienst)","Die Karte zeigt die modellierte Änderung der mittleren jährlichen Grundwasserneubildung für den 30-jährigen Zeitraum 2071-2100 zu 1971-2000 in mm/a berechnet mit dem „Klimaschutz“-Szenario (RCP2.6).Grundwasser ist ein Rohstoff, der sich regenerieren und erneuern kann. 
Hauptlieferant für den Grundwasservorrat ist in Niedersachsen versickerndes Niederschlagswasser. Es sorgt dafür, dass die Grundwasservorkommen der Speichergesteine im Untergrund aufgefüllt werden. Besonders hoch ist die Grundwasserneubildung im Winter, da zu dieser Zeit ein großer Teil der Niederschläge im Boden versickert. In den wärmeren Jahreszeiten verdunstet dagegen ein großer Teil des Niederschlags bereits an der Oberfläche oder wird von Pflanzen aufgenommen. 
Die Grundwasserneubildung ist räumlich stark unterschiedlich verteilt. Sie hängt ab von der Niederschlags- und Verdunstungsverteilung, den Eigenschaften des Bodens, der Landnutzung (Bewuchs, Versiegelungsgrad), dem Relief der Landoberfläche, der künstlichen Entwässerung durch Drainage, dem Grundwasserflurabstand sowie den Eigenschaften der oberflächennahen Gesteine. Da sich diese Parameter in Niedersachsen zum Teil auf kleinstem Raum deutlich unterscheiden, unterliegt auch die Grundwasserneubildung großen lateralen Schwankungen. 
Um die Grundwasserneubildung zu ermitteln, gibt es verschiedene Verfahren. Die vorliegenden Karten zeigen die flächendifferenzierte Ausweisung der mittleren Grundwasserneubildung, die mit dem Verfahren mGROWA (kurz für „monatlicher Großräumiger Wasserhaushalt“) berechnet wurde. Das Model mGROWA wurde für die großräumige Simulation des Wasserhaushalts am Forschungszentrum Jülich in Zusammenarbeit mit dem LBEG entwickelt (Herrmann et al. 2013) und seit 2016 für Niedersachsen methodisch aktualisiert. Zusätzlich wurde eine Reihe neuer Eingangsdaten verwendet, um ein aktuelle Datengrundlagen für wasserwirtschaftliche Planungsarbeiten und wasserrechtliche Genehmigungsverfahren zu liefern. 
Als klimatische Inputdaten wurden tägliche und monatliche Klimaprojektionsdaten genutzt. Die Klimaprojektionsdaten stellen die Ergebnisse eines Ensembles aus verschiedenen Klimamodellen dar (das Niedersächsische Klimaensemble AR5-NI v2.1 siehe Hajati et al. (2022)). Die Daten wurden vom Deutschen Wetterdienst bereitgestellt. Datengrundlage dessen ist das EURO-CORDEX Ensemble (Jacob et al., 2014). Im Rahmen des BMVI-Expertennetzwerks fand durch den DWD eine Herunterskalierung von einem 12,5 km auf ein 5 km Raster statt. 

Die Klimamodelle sind mit dem „Klimaschutz“-Szenario (RCP2.6) angetrieben. Dabei handelt es sich um ein Szenario des IPCC (Weltklimarat), welches deutliche Anstrengungen beim Klimaschutz und niedrigen Emissionen bedeutet.
Die Ergebnisse aller Klimamodelle sind gleich wahrscheinlich. Daher kann neben dem Mittelwert, der eine Tendenz aufzeigt, auch der obere (Maximum) und untere (Minimum) Rand der Ergebnisbandbreite über den MapTip abgerufen werden.
Für eine bessere Regionalisierung wurden die klimatischen Eingangsparameter Niederschlag und potentielle Verdunstung mit bilinearer Interpolation auf ein 500 x 500 m Raster für mGROWA22 herunterskaliert.",,2022-08-01,,,,nodeID://b5802134120,NIBIS-Metadaten | OGC::WMS | infoMapAccessService | inspireidentifiziert | opendata | sgd_Hydrogeologie,0,6,climate_infrastructure,unknown,False,False,True,383,True,,,False,,,True,False,False,True
http://data.europa.eu/88u/dataset/feadf7ce-5566-48c9-985f-c97f11af23c6,"Hydrogeologische Karte von Niedersachsen 1 : 50 000 – Änderung der mittleren jährlichen Grundwasserneubildung für den 30-jährigen Zeitraum 2071-2100 zu 1971-2000 im hydrologischen Winterhalbjahr, Kein-Klimaschutz-Szenario (RCP8.5) (WMS Dienst)","Die Karte zeigt die modellierte Änderung der mittleren jährlichen Grundwasserneubildung für den 30-jährigen Zeitraum 2071-2100 zu 1971-2000 im hydrologischen Winterhalbjahr (Nov.-Apr.) in mm/a berechnet mit dem „Kein-Klimaschutz“-Szenario (RCP8.5).
Grundwasser ist ein Rohstoff, der sich regenerieren und erneuern kann. Hauptlieferant für den Grundwasservorrat ist in Niedersachsen versickerndes Niederschlagswasser. Es sorgt dafür, dass die Grundwasservorkommen der Speichergesteine im Untergrund aufgefüllt werden. Besonders hoch ist die Grundwasserneubildung im Winter, da zu dieser Zeit ein großer Teil der Niederschläge im Boden versickert. In den wärmeren Jahreszeiten verdunstet dagegen ein großer Teil des Niederschlags bereits an der Oberfläche oder wird von Pflanzen aufgenommen. 
Die Grundwasserneubildung ist räumlich stark unterschiedlich verteilt. Sie hängt ab von der Niederschlags- und Verdunstungsverteilung, den Eigenschaften des Bodens, der Landnutzung (Bewuchs, Versiegelungsgrad), dem Relief der Landoberfläche, der künstlichen Entwässerung durch Drainage, dem Grundwasserflurabstand sowie den Eigenschaften der oberflächennahen Gesteine. Da sich diese Parameter in Niedersachsen zum Teil auf kleinstem Raum deutlich unterscheiden, unterliegt auch die Grundwasserneubildung großen lateralen Schwankungen. 
Um die Grundwasserneubildung zu ermitteln, gibt es verschiedene Verfahren. Die vorliegenden Karten zeigen die flächendifferenzierte Ausweisung der mittleren Grundwasserneubildung, die mit dem Verfahren mGROWA (kurz für „monatlicher Großräumiger Wasserhaushalt“) berechnet wurde. Das Model mGROWA wurde für die großräumige Simulation des Wasserhaushalts am Forschungszentrum Jülich in Zusammenarbeit mit dem LBEG entwickelt (Herrmann et al. 2013) und seit 2016 für Niedersachsen methodisch aktualisiert. Zusätzlich wurde eine Reihe neuer Eingangsdaten verwendet, um ein aktuelle Datengrundlagen für wasserwirtschaftliche Planungsarbeiten und wasserrechtliche Genehmigungsverfahren zu liefern. 
Als klimatische Inputdaten wurden tägliche und monatliche Klimaprojektionsdaten genutzt. Die Klimaprojektionsdaten stellen die Ergebnisse eines Ensembles aus verschiedenen Klimamodellen dar (das Niedersächsische Klimaensemble AR5-NI v2.1 siehe Hajati et al. (2022)). Die Daten wurden vom Deutschen Wetterdienst bereitgestellt. Datengrundlage dessen ist das EURO-CORDEX Ensemble (Jacob et al., 2014). Im Rahmen des BMVI-Expertennetzwerks fand durch den DWD eine Herunterskalierung von einem 12,5 km auf ein 5 km Raster statt. 

Die Klimamodelle sind mit dem „Kein-Klimaschutz“-Szenario (RCP8.5) angetrieben. Dabei handelt es sich um ein Szenario des IPCC (Weltklimarat), welches einen kontinuierlichen Anstieg der globalen Treibhausgasemissionen beschreibt, der bis zum Ende des 21. Jahrhunderts einen zusätzlichen Strahlungsantrieb von 8,5 Watt pro m² gegenüber dem vorindustriellen Niveau bewirkt.
Die Ergebnisse aller Klimamodelle sind gleich wahrscheinlich. Daher kann neben dem Mittelwert, der eine Tendenz aufzeigt, auch der obere (Maximum) und untere (Minimum) Rand der Ergebnisbandbreite über den MapTip abgerufen werden.
Für eine bessere Regionalisierung wurden die klimatischen Eingangsparameter Niederschlag und potentielle Verdunstung mit bilinearer Interpolation auf ein 500 x 500 m Raster für mGROWA22 herunterskaliert.",,2022-09-01,,,,nodeID://b5890104441,NIBIS-Metadaten | OGC::WMS | infoMapAccessService | inspireidentifiziert | opendata | sgd_Hydrogeologie,0,6,climate_infrastructure,unknown,False,False,True,407,True,,,False,,,True,False,False,True
http://data.europa.eu/88u/dataset/034709f0-9d09-4b00-ada3-975427a370d9,"Hydrogeologische Karte von Niedersachsen 1 : 50 000 – ittlere jährliche Grundwasserneubildung für den 30-jährigen Zeitraum 2071-2100 im hydrologischen Winterhalbjahr, Klimaschutz-Szenario (RCP2.6)","Die Karte zeigt die modellierte mittlere jährliche Grundwasserneubildung für den 30-jährigen Zeitraum 2071-2100 im hydrologischen Winterhalbjahr (Nov.-Apr.) in mm/a berechnet mit dem „Klimaschutz“-Szenario (RCP2.6).
Grundwasser ist ein Rohstoff, der sich regenerieren und erneuern kann. Hauptlieferant für den Grundwasservorrat ist in Niedersachsen versickerndes Niederschlagswasser. Es sorgt dafür, dass die Grundwasservorkommen der Speichergesteine im Untergrund aufgefüllt werden. Besonders hoch ist die Grundwasserneubildung im Winter, da zu dieser Zeit ein großer Teil der Niederschläge im Boden versickert. In den wärmeren Jahreszeiten verdunstet dagegen ein großer Teil des Niederschlags bereits an der Oberfläche oder wird von Pflanzen aufgenommen. 
Die Grundwasserneubildung ist räumlich stark unterschiedlich verteilt. Sie hängt ab von der Niederschlags- und Verdunstungsverteilung, den Eigenschaften des Bodens, der Landnutzung (Bewuchs, Versiegelungsgrad), dem Relief der Landoberfläche, der künstlichen Entwässerung durch Drainage, dem Grundwasserflurabstand sowie den Eigenschaften der oberflächennahen Gesteine. Da sich diese Parameter in Niedersachsen zum Teil auf kleinstem Raum deutlich unterscheiden, unterliegt auch die Grundwasserneubildung großen lateralen Schwankungen. 
Um die Grundwasserneubildung zu ermitteln, gibt es verschiedene Verfahren. Die vorliegenden Karten zeigen die flächendifferenzierte Ausweisung der mittleren Grundwasserneubildung, die mit dem Verfahren mGROWA (kurz für „monatlicher Großräumiger Wasserhaushalt“) berechnet wurde. Das Model mGROWA wurde für die großräumige Simulation des Wasserhaushalts am Forschungszentrum Jülich in Zusammenarbeit mit dem LBEG entwickelt (Herrmann et al. 2013) und seit 2016 für Niedersachsen methodisch aktualisiert. Zusätzlich wurde eine Reihe neuer Eingangsdaten verwendet, um ein aktuelle Datengrundlagen für wasserwirtschaftliche Planungsarbeiten und wasserrechtliche Genehmigungsverfahren zu liefern. 
Als klimatische Inputdaten wurden tägliche und monatliche Klimaprojektionsdaten genutzt. Die Klimaprojektionsdaten stellen die Ergebnisse eines Ensembles aus verschiedenen Klimamodellen dar (das Niedersächsische Klimaensemble AR5-NI v2.1 siehe Hajati et al. (2022)). Die Daten wurden vom Deutschen Wetterdienst bereitgestellt. Datengrundlage dessen ist das EURO-CORDEX Ensemble (Jacob et al., 2014). Im Rahmen des BMVI-Expertennetzwerks fand durch den DWD eine Herunterskalierung von einem 12,5 km auf ein 5 km Raster statt. 

Die Klimamodelle sind mit dem „Klimaschutz“-Szenario (RCP2.6) angetrieben. Dabei handelt es sich um ein Szenario des IPCC (Weltklimarat), welches deutliche Anstrengungen beim Klimaschutz und niedrigen Emissionen bedeutet.
Die Ergebnisse aller Klimamodelle sind gleich wahrscheinlich. Daher kann neben dem Mittelwert, der eine Tendenz aufzeigt, auch der obere (Maximum) und untere (Minimum) Rand der Ergebnisbandbreite über den MapTip abgerufen werden.
Für eine bessere Regionalisierung wurden die klimatischen Eingangsparameter Niederschlag und potentielle Verdunstung mit bilinearer Interpolation auf ein 500 x 500 m Raster für mGROWA22 herunterskaliert.",2025-05-27,2022-09-01,nodeID://b5903837284,,http://publications.europa.eu/resource/authority/language/DEU,nodeID://b5903837283,geologie | inspireidentifiziert | nibis-metadaten | opendata | regional | sgd_hydrogeologie,1,6,climate_infrastructure,unknown,False,False,True,384,True,,,False,,,True,False,False,True
http://data.europa.eu/88u/dataset/bd35f8cc-5cf5-4537-b0a4-ab495f83a551,,,,,,,,,,1,0,climate_infrastructure,unknown,False,False,False,0,False,,,False,,,False,False,False,True
http://data.europa.eu/88u/dataset/bf4a8952-8166-47c4-ab7d-d09339a3ebc8,,,,,,,,,,1,0,climate_infrastructure,unknown,False,False,False,0,False,,,False,,,False,False,False,True
http://data.europa.eu/88u/dataset/b756dabe-a331-42cd-b45e-f61828ee4534,,,,,,,,,,1,0,climate_infrastructure,unknown,False,False,False,0,False,,,False,,,False,False,False,True
http://data.europa.eu/88u/dataset/59bfdd58-0170-450d-af49-2f1524b1fd4e,,,,,,,,,,1,0,climate_infrastructure,unknown,False,False,False,0,False,,,False,,,False,False,False,True
http://data.europa.eu/88u/dataset/c3767716-e921-4545-96dd-b78a64e2c13c,,,,,,,,,,1,0,climate_infrastructure,unknown,False,False,False,0,False,,,False,,,False,False,False,True
http://data.europa.eu/88u/dataset/b236a60c-878a-403c-b208-952718b5c878,"Hydrogeologische Karte von Niedersachsen 1 : 50 000 – Mittlere jährliche Grundwasserneubildung für den 30-jährigen Zeitraum 2071-2100 im hydrologischen Winterhalbjahr, Kein-Klimaschutz-Szenario (RCP8.5) (WMS Dienst)","Die Karte zeigt die modellierte mittlere jährliche Grundwasserneubildung für den 30-jährigen Zeitraum 2071-2100 im hydrologischen Winterhalbjahr (Nov.-Apr.) in mm/a berechnet mit dem „Kein-Klimaschutz“-Szenario (RCP8.5).
Grundwasser ist ein Rohstoff, der sich regenerieren und erneuern kann. Hauptlieferant für den Grundwasservorrat ist in Niedersachsen versickerndes Niederschlagswasser. Es sorgt dafür, dass die Grundwasservorkommen der Speichergesteine im Untergrund aufgefüllt werden. Besonders hoch ist die Grundwasserneubildung im Winter, da zu dieser Zeit ein großer Teil der Niederschläge im Boden versickert. In den wärmeren Jahreszeiten verdunstet dagegen ein großer Teil des Niederschlags bereits an der Oberfläche oder wird von Pflanzen aufgenommen. 
Die Grundwasserneubildung ist räumlich stark unterschiedlich verteilt. Sie hängt ab von der Niederschlags- und Verdunstungsverteilung, den Eigenschaften des Bodens, der Landnutzung (Bewuchs, Versiegelungsgrad), dem Relief der Landoberfläche, der künstlichen Entwässerung durch Drainage, dem Grundwasserflurabstand sowie den Eigenschaften der oberflächennahen Gesteine. Da sich diese Parameter in Niedersachsen zum Teil auf kleinstem Raum deutlich unterscheiden, unterliegt auch die Grundwasserneubildung großen lateralen Schwankungen. 
Um die Grundwasserneubildung zu ermitteln, gibt es verschiedene Verfahren. Die vorliegenden Karten zeigen die flächendifferenzierte Ausweisung der mittleren Grundwasserneubildung, die mit dem Verfahren mGROWA (kurz für „monatlicher Großräumiger Wasserhaushalt“) berechnet wurde. Das Model mGROWA wurde für die großräumige Simulation des Wasserhaushalts am Forschungszentrum Jülich in Zusammenarbeit mit dem LBEG entwickelt (Herrmann et al. 2013) und seit 2016 für Niedersachsen methodisch aktualisiert. Zusätzlich wurde eine Reihe neuer Eingangsdaten verwendet, um ein aktuelle Datengrundlagen für wasserwirtschaftliche Planungsarbeiten und wasserrechtliche Genehmigungsverfahren zu liefern. 
Als klimatische Inputdaten wurden tägliche und monatliche Klimaprojektionsdaten genutzt. Die Klimaprojektionsdaten stellen die Ergebnisse eines Ensembles aus verschiedenen Klimamodellen dar (das Niedersächsische Klimaensemble AR5-NI v2.1 siehe Hajati et al. (2022)). Die Daten wurden vom Deutschen Wetterdienst bereitgestellt. Datengrundlage dessen ist das EURO-CORDEX Ensemble (Jacob et al., 2014). Im Rahmen des BMVI-Expertennetzwerks fand durch den DWD eine Herunterskalierung von einem 12,5 km auf ein 5 km Raster statt. 

Die Klimamodelle sind mit dem „Kein-Klimaschutz“-Szenario (RCP8.5) angetrieben. Dabei handelt es sich um ein Szenario des IPCC (Weltklimarat), welches einen kontinuierlichen Anstieg der globalen Treibhausgasemissionen beschreibt, der bis zum Ende des 21. Jahrhunderts einen zusätzlichen Strahlungsantrieb von 8,5 Watt pro m² gegenüber dem vorindustriellen Niveau bewirkt.
Die Ergebnisse aller Klimamodelle sind gleich wahrscheinlich. Daher kann neben dem Mittelwert, der eine Tendenz aufzeigt, auch der obere (Maximum) und untere (Minimum) Rand der Ergebnisbandbreite über den MapTip abgerufen werden.
Für eine bessere Regionalisierung wurden die klimatischen Eingangsparameter Niederschlag und potentielle Verdunstung mit bilinearer Interpolation auf ein 500 x 500 m Raster für mGROWA22 herunterskaliert.",,2022-09-01,,,,nodeID://b5807051658,NIBIS-Metadaten | OGC::WMS | infoMapAccessService | inspireidentifiziert | opendata | sgd_Hydrogeologie,0,6,climate_infrastructure,unknown,False,False,True,403,True,,,False,,,True,False,False,True
http://data.europa.eu/88u/dataset/f9c9501a-9821-4fde-9c53-993fe13dde78,"Hydrogeologische Karte von Niedersachsen 1 : 50 000 – Mittlere  jährliche Grundwasserneubildung für den 30-jährigen Zeitraum 2071-2100, Klimaschutz-Szenario (RCP2.6)","Die Karte zeigt die modellierte mittlere jährliche Grundwasserneubildung für den 30-jährigen Zeitraum 2071-2100 in mm/a berechnet mit dem „Klimaschutz“-Szenario (RCP2.6).
Grundwasser ist ein Rohstoff, der sich regenerieren und erneuern kann. Hauptlieferant für den Grundwasservorrat ist in Niedersachsen versickerndes Niederschlagswasser. Es sorgt dafür, dass die Grundwasservorkommen der Speichergesteine im Untergrund aufgefüllt werden. Besonders hoch ist die Grundwasserneubildung im Winter, da zu dieser Zeit ein großer Teil der Niederschläge im Boden versickert. In den wärmeren Jahreszeiten verdunstet dagegen ein großer Teil des Niederschlags bereits an der Oberfläche oder wird von Pflanzen aufgenommen. 
Die Grundwasserneubildung ist räumlich stark unterschiedlich verteilt. Sie hängt ab von der Niederschlags- und Verdunstungsverteilung, den Eigenschaften des Bodens, der Landnutzung (Bewuchs, Versiegelungsgrad), dem Relief der Landoberfläche, der künstlichen Entwässerung durch Drainage, dem Grundwasserflurabstand sowie den Eigenschaften der oberflächennahen Gesteine. Da sich diese Parameter in Niedersachsen zum Teil auf kleinstem Raum deutlich unterscheiden, unterliegt auch die Grundwasserneubildung großen lateralen Schwankungen. 
Um die Grundwasserneubildung zu ermitteln, gibt es verschiedene Verfahren. Die vorliegenden Karten zeigen die flächendifferenzierte Ausweisung der mittleren Grundwasserneubildung, die mit dem Verfahren mGROWA (kurz für „monatlicher Großräumiger Wasserhaushalt“) berechnet wurde. Das Model mGROWA wurde für die großräumige Simulation des Wasserhaushalts am Forschungszentrum Jülich in Zusammenarbeit mit dem LBEG entwickelt (Herrmann et al. 2013) und seit 2016 für Niedersachsen methodisch aktualisiert. Zusätzlich wurde eine Reihe neuer Eingangsdaten verwendet, um ein aktuelle Datengrundlagen für wasserwirtschaftliche Planungsarbeiten und wasserrechtliche Genehmigungsverfahren zu liefern. 
Als klimatische Inputdaten wurden tägliche und monatliche Klimaprojektionsdaten genutzt. Die Klimaprojektionsdaten stellen die Ergebnisse eines Ensembles aus verschiedenen Klimamodellen dar (das Niedersächsische Klimaensemble AR5-NI v2.1 siehe Hajati et al. (2022)). Die Daten wurden vom Deutschen Wetterdienst bereitgestellt. Datengrundlage dessen ist das EURO-CORDEX Ensemble (Jacob et al., 2014). Im Rahmen des BMVI-Expertennetzwerks fand durch den DWD eine Herunterskalierung von einem 12,5 km auf ein 5 km Raster statt. 

Die Klimamodelle sind mit dem „Klimaschutz“-Szenario (RCP2.6) angetrieben. Dabei handelt es sich um ein Szenario des IPCC (Weltklimarat), welches deutliche Anstrengungen beim Klimaschutz und niedrigen Emissionen bedeutet.
Die Ergebnisse aller Klimamodelle sind gleich wahrscheinlich. Daher kann neben dem Mittelwert, der eine Tendenz aufzeigt, auch der obere (Maximum) und untere (Minimum) Rand der Ergebnisbandbreite über den MapTip abgerufen werden.
Für eine bessere Regionalisierung wurden die klimatischen Eingangsparameter Niederschlag und potentielle Verdunstung mit bilinearer Interpolation auf ein 500 x 500 m Raster für mGROWA22 herunterskaliert.",2025-05-27,2022-08-01,nodeID://b5903798492,,http://publications.europa.eu/resource/authority/language/DEU,nodeID://b5903798490,geologie | inspireidentifiziert | nibis-metadaten | opendata | regional | sgd_hydrogeologie,1,6,climate_infrastructure,unknown,False,False,True,380,True,,,False,,,True,False,False,True
http://data.europa.eu/88u/dataset/0d1d524e-f2f2-4066-92cf-c7b2cc6e036e,,,,,,,,,,1,0,climate_infrastructure,unknown,False,False,False,0,False,,,False,,,False,False,False,True
http://data.europa.eu/88u/dataset/723f0742-727b-45ec-a70d-df6292b7e003,,,,,,,,,,1,0,climate_infrastructure,unknown,False,False,False,0,False,,,False,,,False,False,False,True
