task,priority_rank,dataset_uri,title,domain,impact_score,drought_early_warning_score,drought_early_warning_priority,drought_early_warning_best_fix_dim,drought_early_warning_best_fix_gain,climate_infrastructure_score,climate_infrastructure_priority,climate_infrastructure_best_fix_dim,climate_infrastructure_best_fix_gain,nbs_monitoring_score,nbs_monitoring_priority,nbs_monitoring_best_fix_dim,nbs_monitoring_best_fix_gain
drought_early_warning,1,http://data.europa.eu/88u/dataset/98502c77-5e62-49e8-9dac-b7600b62361a,Operationalised transit centres for refugees 29.05 – 4.6.2023,climate_infrastructure,0.52,0.04,0.4992,temporal_coverage,0.25,,,,,,,,
drought_early_warning,2,http://data.europa.eu/88u/dataset/groningen-cultuurstad-groningen-gewoon-bijzonder-2009-2012,"City of Culture Groningen, just special! 2009-2012",drought_early_warning,0.58,0.15,0.49299999999999994,temporal_coverage,0.25,,,,,,,,
drought_early_warning,3,http://data.europa.eu/88u/dataset/36471-waterplantenbedekking-ijsselmeergebied-riet-2022,Water plant cover IJsselmeer area — Riet — 2022,drought_early_warning,0.53,0.1,0.47700000000000004,temporal_coverage,0.25,,,,,,,,
drought_early_warning,4,http://data.europa.eu/88u/dataset/36492-waterplantenbedekking-ijsselmeergebied-aarvederkruid-2022,Water plant cover IJsselmeer area — aarvederweed — 2022,drought_early_warning,0.53,0.1,0.47700000000000004,temporal_coverage,0.25,,,,,,,,
drought_early_warning,5,http://data.europa.eu/88u/dataset/1997-joint-nature-conservation-committee-jncc-uk-distribution-of-non-native-species-records,1997 Joint Nature Conservation Committee (JNCC) UK distribution of non-native species records,drought_early_warning,0.52,0.1,0.468,temporal_coverage,0.25,,,,,,,,
drought_early_warning,6,http://data.europa.eu/88u/dataset/united-kingdom-butterfly-monitoring-scheme-species-trends-2016,United Kingdom Butterfly Monitoring Scheme: species trends 2016,drought_early_warning,0.52,0.1,0.468,temporal_coverage,0.25,,,,,,,,
drought_early_warning,7,http://data.europa.eu/88u/dataset/species-surveys-protected-and-invasive-species-records-collected-through-environment-1970-2021,Species Surveys - Protected and Invasive Species Records Collected Through Environment Agency Survey 1970 - 2021,drought_early_warning,0.52,0.1,0.468,temporal_coverage,0.25,,,,,,,,
drought_early_warning,8,http://data.europa.eu/88u/dataset/uk-3-hourly-site-specific-forecast,UK 3-hourly Site-Specific Forecast,climate_infrastructure,0.52,0.12,0.4576,temporal_coverage,0.25,,,,,,,,
drought_early_warning,9,http://data.europa.eu/88u/dataset/performance-dashboard-pet-passports2,Performance Dashboard Pet passports,climate_infrastructure,0.52,0.12,0.4576,temporal_coverage,0.25,,,,,,,,
drought_early_warning,10,http://data.europa.eu/88u/dataset/https-opendata-euskadi-eus-catalogo-informes-estudios-aimsurv-aedes-invasive-mosquito-species-harmonized-surveillance-in-europe-aim-cost-action-sistema-informacion-naturaleza-euskadi-,AIMSurv Aedes Invasive Mosquito species harmonized surveillance in Europe. AIM-COST Action - Basque Country Nature Information System,drought_early_warning,0.52,0.135,0.44980000000000003,temporal_coverage,0.25,,,,,,,,
drought_early_warning,11,http://data.europa.eu/88u/dataset/fgs-smf-species-conservation,FGS SMF Species Conservation,drought_early_warning,0.52,0.15,0.442,temporal_coverage,0.25,,,,,,,,
drought_early_warning,12,http://data.europa.eu/88u/dataset/ecosystems-interactions-scaling-issues2,Ecosystems Interactions - Scaling issues,climate_infrastructure,0.52,0.15,0.442,temporal_coverage,0.25,,,,,,,,
drought_early_warning,13,http://data.europa.eu/88u/dataset/high-resolution-european-monitoring-and-evaluation-program-model-for-the-uk-emep4uk-annual-2018,"High resolution European Monitoring and Evaluation Program Model for the UK (EMEP4UK) annual vegetation specific atmospheric deposition of oxidised sulphur, oxidised nitrogen, and reduced nitrogen for 2018",climate_infrastructure,0.52,0.15,0.442,temporal_coverage,0.25,,,,,,,,
drought_early_warning,14,http://data.europa.eu/88u/dataset/ogd17-bundesamt-fur-energie-bfe,"Grado di riempimento dei bacini di accumulazione, domenica alle ore 24, rapporto settimanale livello di accumulazione",drought_early_warning,0.52,0.18,0.42640000000000006,temporal_coverage,0.25,,,,,,,,
drought_early_warning,15,http://data.europa.eu/88u/dataset/levelims-ramis-201900096,Measurement results for radioactivity in: The fine potatoes (01.04.2019),drought_early_warning,0.52,0.19,0.4212,temporal_coverage,0.25,,,,,,,,
drought_early_warning,16,http://data.europa.eu/88u/dataset/levelims-ramis-201900323,Measurement results for radioactivity in: Organic Spelt Whole Grain Flour (08.10.2019),drought_early_warning,0.52,0.19,0.4212,temporal_coverage,0.25,,,,,,,,
drought_early_warning,17,http://data.europa.eu/88u/dataset/levelims-ramis-201600247,Measurement results for radioactivity in: Breakfast potatoes (07.07.2016),drought_early_warning,0.52,0.19,0.4212,temporal_coverage,0.25,,,,,,,,
drought_early_warning,18,http://data.europa.eu/88u/dataset/levelims-ramis-202100112~~1,"Measurement results for radioactivity in:
Black cherry spread (14.4.2021)",climate_infrastructure,0.52,0.19,0.4212,temporal_coverage,0.25,,,,,,,,
drought_early_warning,19,http://data.europa.eu/88u/dataset/56e4b64c-1834-4c65-a6f5-ade7af18cb4b,"High Resolution Vegetation Phenology and Productivity: Seasonal Trajectories Quality Flag (raster 10m) version 1 revision 1, Sep. 2021",climate_infrastructure,0.52,0.25,0.39,temporal_coverage,0.25,,,,,,,,
drought_early_warning,20,http://data.europa.eu/88u/dataset/77d26be7-c7b3-46f6-aa3f-6c143afd0d86~~2,Virtual passport points Hamburg,climate_infrastructure,0.52,0.31,0.3588,temporal_coverage,0.25,,,,,,,,
climate_infrastructure,1,http://data.europa.eu/88u/dataset/98502c77-5e62-49e8-9dac-b7600b62361a,Operationalised transit centres for refugees 29.05 – 4.6.2023,climate_infrastructure,0.52,,,,,0.085,0.47580000000000006,temporal_coverage,0.2,,,,
climate_infrastructure,2,http://data.europa.eu/88u/dataset/uk-3-hourly-site-specific-forecast,UK 3-hourly Site-Specific Forecast,climate_infrastructure,0.52,,,,,0.175,0.429,temporal_coverage,0.2,,,,
climate_infrastructure,3,http://data.europa.eu/88u/dataset/performance-dashboard-pet-passports2,Performance Dashboard Pet passports,climate_infrastructure,0.52,,,,,0.175,0.429,temporal_coverage,0.2,,,,
climate_infrastructure,4,http://data.europa.eu/88u/dataset/groningen-cultuurstad-groningen-gewoon-bijzonder-2009-2012,"City of Culture Groningen, just special! 2009-2012",drought_early_warning,0.58,,,,,0.3,0.40599999999999997,temporal_coverage,0.2,,,,
climate_infrastructure,5,http://data.europa.eu/88u/dataset/ogd17-bundesamt-fur-energie-bfe,"Grado di riempimento dei bacini di accumulazione, domenica alle ore 24, rapporto settimanale livello di accumulazione",drought_early_warning,0.52,,,,,0.22,0.4056,temporal_coverage,0.2,,,,
climate_infrastructure,6,http://data.europa.eu/88u/dataset/https-opendata-euskadi-eus-catalogo-informes-estudios-aimsurv-aedes-invasive-mosquito-species-harmonized-surveillance-in-europe-aim-cost-action-sistema-informacion-naturaleza-euskadi-,AIMSurv Aedes Invasive Mosquito species harmonized surveillance in Europe. AIM-COST Action - Basque Country Nature Information System,drought_early_warning,0.52,,,,,0.225,0.403,temporal_coverage,0.2,,,,
climate_infrastructure,7,http://data.europa.eu/88u/dataset/36471-waterplantenbedekking-ijsselmeergebied-riet-2022,Water plant cover IJsselmeer area — Riet — 2022,drought_early_warning,0.53,,,,,0.25,0.3975,temporal_coverage,0.2,,,,
climate_infrastructure,8,http://data.europa.eu/88u/dataset/36492-waterplantenbedekking-ijsselmeergebied-aarvederkruid-2022,Water plant cover IJsselmeer area — aarvederweed — 2022,drought_early_warning,0.53,,,,,0.25,0.3975,temporal_coverage,0.2,,,,
climate_infrastructure,9,http://data.europa.eu/88u/dataset/1997-joint-nature-conservation-committee-jncc-uk-distribution-of-non-native-species-records,1997 Joint Nature Conservation Committee (JNCC) UK distribution of non-native species records,drought_early_warning,0.52,,,,,0.25,0.39,temporal_coverage,0.2,,,,
climate_infrastructure,10,http://data.europa.eu/88u/dataset/ecosystems-interactions-scaling-issues2,Ecosystems Interactions - Scaling issues,climate_infrastructure,0.52,,,,,0.25,0.39,temporal_coverage,0.2,,,,
climate_infrastructure,11,http://data.europa.eu/88u/dataset/levelims-ramis-201900096,Measurement results for radioactivity in: The fine potatoes (01.04.2019),drought_early_warning,0.52,,,,,0.255,0.3874,temporal_coverage,0.2,,,,
climate_infrastructure,12,http://data.europa.eu/88u/dataset/levelims-ramis-201900323,Measurement results for radioactivity in: Organic Spelt Whole Grain Flour (08.10.2019),drought_early_warning,0.52,,,,,0.255,0.3874,temporal_coverage,0.2,,,,
climate_infrastructure,13,http://data.europa.eu/88u/dataset/levelims-ramis-201600247,Measurement results for radioactivity in: Breakfast potatoes (07.07.2016),drought_early_warning,0.52,,,,,0.255,0.3874,temporal_coverage,0.2,,,,
climate_infrastructure,14,http://data.europa.eu/88u/dataset/levelims-ramis-202100112~~1,"Measurement results for radioactivity in:
Black cherry spread (14.4.2021)",climate_infrastructure,0.52,,,,,0.255,0.3874,temporal_coverage,0.2,,,,
climate_infrastructure,15,http://data.europa.eu/88u/dataset/united-kingdom-butterfly-monitoring-scheme-species-trends-2016,United Kingdom Butterfly Monitoring Scheme: species trends 2016,drought_early_warning,0.52,,,,,0.28,0.3744,temporal_coverage,0.2,,,,
climate_infrastructure,16,http://data.europa.eu/88u/dataset/species-surveys-protected-and-invasive-species-records-collected-through-environment-1970-2021,Species Surveys - Protected and Invasive Species Records Collected Through Environment Agency Survey 1970 - 2021,drought_early_warning,0.52,,,,,0.3,0.364,temporal_coverage,0.2,,,,
climate_infrastructure,17,http://data.europa.eu/88u/dataset/fgs-smf-species-conservation,FGS SMF Species Conservation,drought_early_warning,0.52,,,,,0.3,0.364,temporal_coverage,0.2,,,,
climate_infrastructure,18,http://data.europa.eu/88u/dataset/high-resolution-european-monitoring-and-evaluation-program-model-for-the-uk-emep4uk-annual-2018,"High resolution European Monitoring and Evaluation Program Model for the UK (EMEP4UK) annual vegetation specific atmospheric deposition of oxidised sulphur, oxidised nitrogen, and reduced nitrogen for 2018",climate_infrastructure,0.52,,,,,0.3,0.364,temporal_coverage,0.2,,,,
climate_infrastructure,19,http://data.europa.eu/88u/dataset/https-dane-gov-pl-pl-dataset-1018-finansowanie-zadan-z-funduszu-rozwoju-kultury-fizycznej-kwoty-dofinansowania-w-szczegolnosci-sport-wyczynowy-sport-modziezowy-sport-osob-niepenosprawnych-oraz-zdrowie-publiczne,"Finansowanie zadań z Funduszu Rozwoju Kultury Fizycznej - kwoty dofinansowania (w szczególności sport wyczynowy, sport młodzieżowy, sport osób niepełnosprawnych oraz zdrowie publiczne)",climate_infrastructure,0.44,,,,,0.255,0.3278,temporal_coverage,0.2,,,,
climate_infrastructure,20,http://data.europa.eu/88u/dataset/aba94d33-88a2-47c0-a263-e8e44116942a,,drought_early_warning,0.32,,,,,0.0,0.32,description_quality,0.25,,,,
nbs_monitoring,1,http://data.europa.eu/88u/dataset/uk-3-hourly-site-specific-forecast,UK 3-hourly Site-Specific Forecast,climate_infrastructure,0.52,,,,,,,,,0.115,0.4602,temporal_coverage,0.2
nbs_monitoring,2,http://data.europa.eu/88u/dataset/performance-dashboard-pet-passports2,Performance Dashboard Pet passports,climate_infrastructure,0.52,,,,,,,,,0.115,0.4602,temporal_coverage,0.2
nbs_monitoring,3,http://data.europa.eu/88u/dataset/36471-waterplantenbedekking-ijsselmeergebied-riet-2022,Water plant cover IJsselmeer area — Riet — 2022,drought_early_warning,0.53,,,,,,,,,0.145,0.45315,temporal_coverage,0.2
nbs_monitoring,4,http://data.europa.eu/88u/dataset/36492-waterplantenbedekking-ijsselmeergebied-aarvederkruid-2022,Water plant cover IJsselmeer area — aarvederweed — 2022,drought_early_warning,0.53,,,,,,,,,0.145,0.45315,temporal_coverage,0.2
nbs_monitoring,5,http://data.europa.eu/88u/dataset/98502c77-5e62-49e8-9dac-b7600b62361a,Operationalised transit centres for refugees 29.05 – 4.6.2023,climate_infrastructure,0.52,,,,,,,,,0.13,0.4524,temporal_coverage,0.2
nbs_monitoring,6,http://data.europa.eu/88u/dataset/1997-joint-nature-conservation-committee-jncc-uk-distribution-of-non-native-species-records,1997 Joint Nature Conservation Committee (JNCC) UK distribution of non-native species records,drought_early_warning,0.52,,,,,,,,,0.145,0.4446,temporal_coverage,0.2
nbs_monitoring,7,http://data.europa.eu/88u/dataset/ecosystems-interactions-scaling-issues2,Ecosystems Interactions - Scaling issues,climate_infrastructure,0.52,,,,,,,,,0.145,0.4446,temporal_coverage,0.2
nbs_monitoring,8,http://data.europa.eu/88u/dataset/groningen-cultuurstad-groningen-gewoon-bijzonder-2009-2012,"City of Culture Groningen, just special! 2009-2012",drought_early_warning,0.58,,,,,,,,,0.245,0.43789999999999996,temporal_coverage,0.2
nbs_monitoring,9,http://data.europa.eu/88u/dataset/ogd17-bundesamt-fur-energie-bfe,"Grado di riempimento dei bacini di accumulazione, domenica alle ore 24, rapporto settimanale livello di accumulazione",drought_early_warning,0.52,,,,,,,,,0.19,0.4212,temporal_coverage,0.2
nbs_monitoring,10,http://data.europa.eu/88u/dataset/united-kingdom-butterfly-monitoring-scheme-species-trends-2016,United Kingdom Butterfly Monitoring Scheme: species trends 2016,drought_early_warning,0.52,,,,,,,,,0.205,0.41340000000000005,temporal_coverage,0.2
nbs_monitoring,11,http://data.europa.eu/88u/dataset/species-surveys-protected-and-invasive-species-records-collected-through-environment-1970-2021,Species Surveys - Protected and Invasive Species Records Collected Through Environment Agency Survey 1970 - 2021,drought_early_warning,0.52,,,,,,,,,0.245,0.3926,temporal_coverage,0.2
nbs_monitoring,12,http://data.europa.eu/88u/dataset/fgs-smf-species-conservation,FGS SMF Species Conservation,drought_early_warning,0.52,,,,,,,,,0.245,0.3926,temporal_coverage,0.2
nbs_monitoring,13,http://data.europa.eu/88u/dataset/high-resolution-european-monitoring-and-evaluation-program-model-for-the-uk-emep4uk-annual-2018,"High resolution European Monitoring and Evaluation Program Model for the UK (EMEP4UK) annual vegetation specific atmospheric deposition of oxidised sulphur, oxidised nitrogen, and reduced nitrogen for 2018",climate_infrastructure,0.52,,,,,,,,,0.245,0.3926,temporal_coverage,0.2
nbs_monitoring,14,http://data.europa.eu/88u/dataset/https-opendata-euskadi-eus-catalogo-informes-estudios-aimsurv-aedes-invasive-mosquito-species-harmonized-surveillance-in-europe-aim-cost-action-sistema-informacion-naturaleza-euskadi-,AIMSurv Aedes Invasive Mosquito species harmonized surveillance in Europe. AIM-COST Action - Basque Country Nature Information System,drought_early_warning,0.52,,,,,,,,,0.27,0.3796,temporal_coverage,0.2
nbs_monitoring,15,http://data.europa.eu/88u/dataset/56e4b64c-1834-4c65-a6f5-ade7af18cb4b,"High Resolution Vegetation Phenology and Productivity: Seasonal Trajectories Quality Flag (raster 10m) version 1 revision 1, Sep. 2021",climate_infrastructure,0.52,,,,,,,,,0.295,0.36660000000000004,temporal_coverage,0.2
nbs_monitoring,16,http://data.europa.eu/88u/dataset/levelims-ramis-201900096,Measurement results for radioactivity in: The fine potatoes (01.04.2019),drought_early_warning,0.52,,,,,,,,,0.32,0.35359999999999997,temporal_coverage,0.2
nbs_monitoring,17,http://data.europa.eu/88u/dataset/levelims-ramis-201900323,Measurement results for radioactivity in: Organic Spelt Whole Grain Flour (08.10.2019),drought_early_warning,0.52,,,,,,,,,0.32,0.35359999999999997,temporal_coverage,0.2
nbs_monitoring,18,http://data.europa.eu/88u/dataset/levelims-ramis-201600247,Measurement results for radioactivity in: Breakfast potatoes (07.07.2016),drought_early_warning,0.52,,,,,,,,,0.32,0.35359999999999997,temporal_coverage,0.2
nbs_monitoring,19,http://data.europa.eu/88u/dataset/levelims-ramis-202100112~~1,"Measurement results for radioactivity in:
Black cherry spread (14.4.2021)",climate_infrastructure,0.52,,,,,,,,,0.32,0.35359999999999997,temporal_coverage,0.2
nbs_monitoring,20,http://data.europa.eu/88u/dataset/47a1f60d-b7a1-4657-aab5-04e41dbafe8f,Individual data set from the National Residue Control Plan (NRCP) for the reporting year 2020,climate_infrastructure,0.52,,,,,,,,,0.4,0.312,temporal_coverage,0.2
