outcome,indicator,n,spearman_rho,spearman_p,pearson_r,pearson_p,significant_spearman,significant_pearson
early_warning_mean,gdp_per_capita_pps,9,0.159,0.6828,0.4229,0.2568,False,False
early_warning_mean,desi_score,9,-0.1667,0.6682,-0.4042,0.2806,False,False
early_warning_mean,water_exploitation_index,9,0.0,1.0,0.13,0.7389,False,False
early_warning_mean,open_data_maturity,9,-0.3361,0.3765,-0.186,0.6318,False,False
early_warning_mean,egovernment_usage_pct,9,-0.0924,0.813,-0.1486,0.7027,False,False
early_warning_mean,data_infrastructure_score,9,-0.3833,0.3085,-0.4307,0.2471,False,False
early_warning_mean,env_expenditure_pct_gdp,9,-0.5594,0.1173,-0.5729,0.1069,False,False
compliance_mean,gdp_per_capita_pps,9,0.318,0.4043,0.2662,0.4887,False,False
compliance_mean,desi_score,9,-0.0833,0.8312,-0.4208,0.2593,False,False
compliance_mean,water_exploitation_index,9,-0.0833,0.8312,0.1638,0.6737,False,False
compliance_mean,open_data_maturity,9,-0.3698,0.3274,-0.3546,0.3491,False,False
compliance_mean,egovernment_usage_pct,9,0.1008,0.7963,-0.0947,0.8086,False,False
compliance_mean,data_infrastructure_score,9,-0.2,0.6059,-0.5045,0.1661,False,False
compliance_mean,env_expenditure_pct_gdp,9,-0.6611,0.0525,-0.6404,0.0631,False,False
cross_border_mean,gdp_per_capita_pps,9,0.636,0.0656,0.7031,0.0346,False,True
cross_border_mean,desi_score,9,0.3833,0.3085,0.1152,0.7678,False,False
cross_border_mean,water_exploitation_index,9,-0.55,0.125,-0.39,0.2994,False,False
cross_border_mean,open_data_maturity,9,0.0,1.0,0.0204,0.9584,False,False
cross_border_mean,egovernment_usage_pct,9,0.5042,0.1663,0.3865,0.3041,False,False
cross_border_mean,data_infrastructure_score,9,0.1333,0.7324,0.1115,0.7753,False,False
cross_border_mean,env_expenditure_pct_gdp,9,-0.8645,0.0026,-0.8511,0.0036,True,True
composite_mean,gdp_per_capita_pps,9,0.2594,0.5003,0.4606,0.2121,False,False
composite_mean,desi_score,9,-0.05,0.8984,-0.3558,0.3474,False,False
composite_mean,water_exploitation_index,9,-0.0667,0.8647,0.0627,0.8727,False,False
composite_mean,open_data_maturity,9,-0.3193,0.4022,-0.2179,0.5733,False,False
composite_mean,egovernment_usage_pct,9,0.042,0.9145,-0.0539,0.8904,False,False
composite_mean,data_infrastructure_score,9,-0.2667,0.4879,-0.398,0.2888,False,False
composite_mean,env_expenditure_pct_gdp,9,-0.6442,0.0611,-0.6912,0.0392,False,True
early_warning_temporal_recency_mean,gdp_per_capita_pps,9,-0.0251,0.9489,0.8442,0.0042,False,True
early_warning_temporal_recency_mean,desi_score,9,-0.2,0.6059,-0.051,0.8964,False,False
early_warning_temporal_recency_mean,water_exploitation_index,9,0.05,0.8984,-0.2708,0.4809,False,False
early_warning_temporal_recency_mean,open_data_maturity,9,0.353,0.3515,0.2463,0.5228,False,False
early_warning_temporal_recency_mean,egovernment_usage_pct,9,-0.1681,0.6656,0.0771,0.8437,False,False
early_warning_temporal_recency_mean,data_infrastructure_score,9,-0.3167,0.4064,0.0395,0.9197,False,False
early_warning_temporal_recency_mean,env_expenditure_pct_gdp,9,-0.3221,0.398,-0.5332,0.1393,False,False
early_warning_spatial_precision_mean,gdp_per_capita_pps,9,-0.1532,0.6939,-0.0757,0.8466,False,False
early_warning_spatial_precision_mean,desi_score,9,-0.4238,0.2557,-0.528,0.144,False,False
early_warning_spatial_precision_mean,water_exploitation_index,9,0.3221,0.398,0.4099,0.2733,False,False
early_warning_spatial_precision_mean,open_data_maturity,9,-0.7009,0.0354,-0.4236,0.2559,True,False
early_warning_spatial_precision_mean,egovernment_usage_pct,9,-0.2906,0.4481,-0.2863,0.4552,False,False
early_warning_spatial_precision_mean,data_infrastructure_score,9,-0.5085,0.1621,-0.6255,0.0716,False,False
early_warning_spatial_precision_mean,env_expenditure_pct_gdp,9,-0.2414,0.5315,-0.3252,0.3932,False,False
early_warning_format_readability_mean,gdp_per_capita_pps,9,,,,,False,False
early_warning_format_readability_mean,desi_score,9,,,,,False,False
early_warning_format_readability_mean,water_exploitation_index,9,,,,,False,False
early_warning_format_readability_mean,open_data_maturity,9,,,,,False,False
early_warning_format_readability_mean,egovernment_usage_pct,9,,,,,False,False
early_warning_format_readability_mean,data_infrastructure_score,9,,,,,False,False
early_warning_format_readability_mean,env_expenditure_pct_gdp,9,,,,,False,False
early_warning_license_openness_mean,gdp_per_capita_pps,9,0.1375,0.7243,-0.0052,0.9894,False,False
early_warning_license_openness_mean,desi_score,9,0.0,1.0,-0.1067,0.7846,False,False
early_warning_license_openness_mean,water_exploitation_index,9,-0.4108,0.2721,-0.4069,0.277,False,False
early_warning_license_openness_mean,open_data_maturity,9,0.2071,0.5928,0.2656,0.4897,False,False
early_warning_license_openness_mean,egovernment_usage_pct,9,0.2071,0.5928,0.1879,0.6283,False,False
early_warning_license_openness_mean,data_infrastructure_score,9,0.0,1.0,-0.0043,0.9911,False,False
early_warning_license_openness_mean,env_expenditure_pct_gdp,9,-0.2785,0.468,-0.2868,0.4544,False,False
early_warning_description_quality_mean,gdp_per_capita_pps,9,,,,,False,False
early_warning_description_quality_mean,desi_score,9,,,,,False,False
early_warning_description_quality_mean,water_exploitation_index,9,,,,,False,False
early_warning_description_quality_mean,open_data_maturity,9,,,,,False,False
early_warning_description_quality_mean,egovernment_usage_pct,9,,,,,False,False
early_warning_description_quality_mean,data_infrastructure_score,9,,,,,False,False
early_warning_description_quality_mean,env_expenditure_pct_gdp,9,,,,,False,False
early_warning_vocabulary_standard_mean,gdp_per_capita_pps,9,0.7479,0.0205,0.5522,0.1232,True,False
early_warning_vocabulary_standard_mean,desi_score,9,0.4603,0.2125,0.2188,0.5717,False,False
early_warning_vocabulary_standard_mean,water_exploitation_index,9,-0.5941,0.0916,-0.4658,0.2064,False,False
early_warning_vocabulary_standard_mean,open_data_maturity,9,-0.2236,0.563,-0.1816,0.64,False,False
early_warning_vocabulary_standard_mean,egovernment_usage_pct,9,0.6456,0.0604,0.4928,0.1777,False,False
early_warning_vocabulary_standard_mean,data_infrastructure_score,9,0.2929,0.4444,0.135,0.7291,False,False
early_warning_vocabulary_standard_mean,env_expenditure_pct_gdp,9,-0.8086,0.0083,-0.8184,0.007,True,True
compliance_reporting_temporal_coverage_mean,gdp_per_capita_pps,9,,,,,False,False
compliance_reporting_temporal_coverage_mean,desi_score,9,,,,,False,False
compliance_reporting_temporal_coverage_mean,water_exploitation_index,9,,,,,False,False
compliance_reporting_temporal_coverage_mean,open_data_maturity,9,,,,,False,False
compliance_reporting_temporal_coverage_mean,egovernment_usage_pct,9,,,,,False,False
compliance_reporting_temporal_coverage_mean,data_infrastructure_score,9,,,,,False,False
compliance_reporting_temporal_coverage_mean,env_expenditure_pct_gdp,9,,,,,False,False
compliance_reporting_description_quality_mean,gdp_per_capita_pps,9,,,,,False,False
compliance_reporting_description_quality_mean,desi_score,9,,,,,False,False
compliance_reporting_description_quality_mean,water_exploitation_index,9,,,,,False,False
compliance_reporting_description_quality_mean,open_data_maturity,9,,,,,False,False
compliance_reporting_description_quality_mean,egovernment_usage_pct,9,,,,,False,False
compliance_reporting_description_quality_mean,data_infrastructure_score,9,,,,,False,False
compliance_reporting_description_quality_mean,env_expenditure_pct_gdp,9,,,,,False,False
compliance_reporting_spatial_aggregation_mean,gdp_per_capita_pps,9,-0.1532,0.6939,-0.0832,0.8315,False,False
compliance_reporting_spatial_aggregation_mean,desi_score,9,-0.4238,0.2557,-0.5349,0.1378,False,False
compliance_reporting_spatial_aggregation_mean,water_exploitation_index,9,0.3221,0.398,0.4165,0.2648,False,False
compliance_reporting_spatial_aggregation_mean,open_data_maturity,9,-0.7009,0.0354,-0.4173,0.2637,True,False
compliance_reporting_spatial_aggregation_mean,egovernment_usage_pct,9,-0.2906,0.4481,-0.291,0.4474,False,False
compliance_reporting_spatial_aggregation_mean,data_infrastructure_score,9,-0.5085,0.1621,-0.6296,0.0692,False,False
compliance_reporting_spatial_aggregation_mean,env_expenditure_pct_gdp,9,-0.2414,0.5315,-0.3281,0.3887,False,False
compliance_reporting_vocabulary_standard_mean,gdp_per_capita_pps,9,0.7479,0.0205,0.5522,0.1232,True,False
compliance_reporting_vocabulary_standard_mean,desi_score,9,0.4603,0.2125,0.2188,0.5717,False,False
compliance_reporting_vocabulary_standard_mean,water_exploitation_index,9,-0.5941,0.0916,-0.4658,0.2064,False,False
compliance_reporting_vocabulary_standard_mean,open_data_maturity,9,-0.2236,0.563,-0.1816,0.64,False,False
compliance_reporting_vocabulary_standard_mean,egovernment_usage_pct,9,0.6456,0.0604,0.4928,0.1777,False,False
compliance_reporting_vocabulary_standard_mean,data_infrastructure_score,9,0.2929,0.4444,0.135,0.7291,False,False
compliance_reporting_vocabulary_standard_mean,env_expenditure_pct_gdp,9,-0.8086,0.0083,-0.8184,0.007,True,True
compliance_reporting_format_readability_mean,gdp_per_capita_pps,9,,,,,False,False
compliance_reporting_format_readability_mean,desi_score,9,,,,,False,False
compliance_reporting_format_readability_mean,water_exploitation_index,9,,,,,False,False
compliance_reporting_format_readability_mean,open_data_maturity,9,,,,,False,False
compliance_reporting_format_readability_mean,egovernment_usage_pct,9,,,,,False,False
compliance_reporting_format_readability_mean,data_infrastructure_score,9,,,,,False,False
compliance_reporting_format_readability_mean,env_expenditure_pct_gdp,9,,,,,False,False
compliance_reporting_license_openness_mean,gdp_per_capita_pps,9,0.1375,0.7243,-0.0052,0.9894,False,False
compliance_reporting_license_openness_mean,desi_score,9,0.0,1.0,-0.1067,0.7846,False,False
compliance_reporting_license_openness_mean,water_exploitation_index,9,-0.4108,0.2721,-0.4069,0.277,False,False
compliance_reporting_license_openness_mean,open_data_maturity,9,0.2071,0.5928,0.2656,0.4897,False,False
compliance_reporting_license_openness_mean,egovernment_usage_pct,9,0.2071,0.5928,0.1879,0.6283,False,False
compliance_reporting_license_openness_mean,data_infrastructure_score,9,0.0,1.0,-0.0043,0.9911,False,False
compliance_reporting_license_openness_mean,env_expenditure_pct_gdp,9,-0.2785,0.468,-0.2868,0.4544,False,False
compliance_reporting_temporal_recency_mean,gdp_per_capita_pps,9,-0.0251,0.9489,0.8442,0.0042,False,True
compliance_reporting_temporal_recency_mean,desi_score,9,-0.2,0.6059,-0.051,0.8964,False,False
compliance_reporting_temporal_recency_mean,water_exploitation_index,9,0.05,0.8984,-0.2708,0.4809,False,False
compliance_reporting_temporal_recency_mean,open_data_maturity,9,0.353,0.3515,0.2463,0.5228,False,False
compliance_reporting_temporal_recency_mean,egovernment_usage_pct,9,-0.1681,0.6656,0.0771,0.8437,False,False
compliance_reporting_temporal_recency_mean,data_infrastructure_score,9,-0.3167,0.4064,0.0395,0.9197,False,False
compliance_reporting_temporal_recency_mean,env_expenditure_pct_gdp,9,-0.3221,0.398,-0.5332,0.1393,False,False
cross_border_vocabulary_standard_mean,gdp_per_capita_pps,9,0.7479,0.0205,0.5522,0.1232,True,False
cross_border_vocabulary_standard_mean,desi_score,9,0.4603,0.2125,0.2188,0.5717,False,False
cross_border_vocabulary_standard_mean,water_exploitation_index,9,-0.5941,0.0916,-0.4658,0.2064,False,False
cross_border_vocabulary_standard_mean,open_data_maturity,9,-0.2236,0.563,-0.1816,0.64,False,False
cross_border_vocabulary_standard_mean,egovernment_usage_pct,9,0.6456,0.0604,0.4928,0.1777,False,False
cross_border_vocabulary_standard_mean,data_infrastructure_score,9,0.2929,0.4444,0.135,0.7291,False,False
cross_border_vocabulary_standard_mean,env_expenditure_pct_gdp,9,-0.8086,0.0083,-0.8184,0.007,True,True
cross_border_multilingual_mean,gdp_per_capita_pps,9,-0.5042,0.1663,-0.4099,0.2732,False,False
cross_border_multilingual_mean,desi_score,9,-0.1369,0.7254,-0.2296,0.5523,False,False
cross_border_multilingual_mean,water_exploitation_index,9,0.5477,0.1269,0.5756,0.1049,False,False
cross_border_multilingual_mean,open_data_maturity,9,0.3107,0.4158,0.3656,0.3332,False,False
cross_border_multilingual_mean,egovernment_usage_pct,9,-0.3797,0.3134,-0.2872,0.4537,False,False
cross_border_multilingual_mean,data_infrastructure_score,9,-0.2967,0.4382,-0.0809,0.8362,False,False
cross_border_multilingual_mean,env_expenditure_pct_gdp,9,0.1393,0.7208,0.1886,0.627,False,False
cross_border_spatial_coverage_mean,gdp_per_capita_pps,9,-0.5042,0.1663,-0.41,0.2731,False,False
cross_border_spatial_coverage_mean,desi_score,9,-0.1369,0.7254,-0.2297,0.5522,False,False
cross_border_spatial_coverage_mean,water_exploitation_index,9,0.5477,0.1269,0.5757,0.1048,False,False
cross_border_spatial_coverage_mean,open_data_maturity,9,0.3107,0.4158,0.3654,0.3336,False,False
cross_border_spatial_coverage_mean,egovernment_usage_pct,9,-0.3797,0.3134,-0.2873,0.4535,False,False
cross_border_spatial_coverage_mean,data_infrastructure_score,9,-0.2967,0.4382,-0.081,0.8359,False,False
cross_border_spatial_coverage_mean,env_expenditure_pct_gdp,9,0.1393,0.7208,0.1884,0.6274,False,False
cross_border_format_readability_mean,gdp_per_capita_pps,9,,,,,False,False
cross_border_format_readability_mean,desi_score,9,,,,,False,False
cross_border_format_readability_mean,water_exploitation_index,9,,,,,False,False
cross_border_format_readability_mean,open_data_maturity,9,,,,,False,False
cross_border_format_readability_mean,egovernment_usage_pct,9,,,,,False,False
cross_border_format_readability_mean,data_infrastructure_score,9,,,,,False,False
cross_border_format_readability_mean,env_expenditure_pct_gdp,9,,,,,False,False
cross_border_description_quality_mean,gdp_per_capita_pps,9,,,,,False,False
cross_border_description_quality_mean,desi_score,9,,,,,False,False
cross_border_description_quality_mean,water_exploitation_index,9,,,,,False,False
cross_border_description_quality_mean,open_data_maturity,9,,,,,False,False
cross_border_description_quality_mean,egovernment_usage_pct,9,,,,,False,False
cross_border_description_quality_mean,data_infrastructure_score,9,,,,,False,False
cross_border_description_quality_mean,env_expenditure_pct_gdp,9,,,,,False,False
cross_border_license_openness_mean,gdp_per_capita_pps,9,0.1375,0.7243,-0.0052,0.9894,False,False
cross_border_license_openness_mean,desi_score,9,0.0,1.0,-0.1067,0.7846,False,False
cross_border_license_openness_mean,water_exploitation_index,9,-0.4108,0.2721,-0.4069,0.277,False,False
cross_border_license_openness_mean,open_data_maturity,9,0.2071,0.5928,0.2656,0.4897,False,False
cross_border_license_openness_mean,egovernment_usage_pct,9,0.2071,0.5928,0.1879,0.6283,False,False
cross_border_license_openness_mean,data_infrastructure_score,9,0.0,1.0,-0.0043,0.9911,False,False
cross_border_license_openness_mean,env_expenditure_pct_gdp,9,-0.2785,0.468,-0.2868,0.4544,False,False
cross_border_temporal_recency_mean,gdp_per_capita_pps,9,-0.0251,0.9489,0.8442,0.0042,False,True
cross_border_temporal_recency_mean,desi_score,9,-0.2,0.6059,-0.051,0.8964,False,False
cross_border_temporal_recency_mean,water_exploitation_index,9,0.05,0.8984,-0.2708,0.4809,False,False
cross_border_temporal_recency_mean,open_data_maturity,9,0.353,0.3515,0.2463,0.5228,False,False
cross_border_temporal_recency_mean,egovernment_usage_pct,9,-0.1681,0.6656,0.0771,0.8437,False,False
cross_border_temporal_recency_mean,data_infrastructure_score,9,-0.3167,0.4064,0.0395,0.9197,False,False
cross_border_temporal_recency_mean,env_expenditure_pct_gdp,9,-0.3221,0.398,-0.5332,0.1393,False,False
